"ID","quantity","glassWidth","glassLength","glassType","location",
"485","1","18","23","197","12",
"486","1","24","21","197","12",
"487","1","24","22","197","12",
"488","1","12","17","197","12",
"489","1","24","16","197","12",
"490","1","20","20","197","12",
"583","1","11","15","70","17",
"492","1","22","12","197","12",
"493","1","12","14","197","12",
"494","1","15","8","197","12",
"495","1","16","10","236","22",
"496","1","10","6","49","18",
"497","1","9","17","52","18",
"498","1","9","13","430","38",
"499","1","24","15","280","12",
"500","1","24","22","193","12",
"501","1","23","22","192","12",
"502","1","15","34","369","42",
"503","1","11","23","293","42",
"504","1","24","20","293","42",
"505","1","24","24","293","42",
"506","1","24","24","287","42",
"507","1","24","14","92","43",
"508","1","18","24","77","43",
"509","1","22","34","435","18",
"510","1","22","40","225","18",
"511","1","7","21","33","18",
"512","1","19","23","54","18",
"513","1","13","16","36","18",
"514","1","12","20","152","19",
"515","1","21","26","33","19",
"516","1","18","23","223","19",
"517","1","32","14","379","16",
"518","1","17","13","379","16",
"519","1","24","14","121","17",
"520","1","14","40","314","25",
"521","1","16","25","249","22",
"523","1","21","12","402","22",
"524","1","18","24","414","22",
"525","1","20","24","396","22",
"526","1","7","11","115","22",
"527","1","9","16","249","22",
"528","1","12","10","249","22",
"529","1","9","23","45","18",
"530","1","27","20","380","18",
"531","1","16","31","381","43",
"532","1","29","26",,"43",
"533","1","7","23","73","43",
"534","1","10","12","74","43",
"535","1","16","16","372","43",
"536","1","10","10","58","43",
"537","1","9","10","142","43",
"538","1","9","14",,"43",
"539","1","16","10","82","43",
"540","1","24","10","58","43",
"541","1","9","18","124","43",
"542","1","10","18","66","43",
"543","1","20","15","62","43",
"544","1","15","15","241","43",
"545","1","11","25","241","43",
"546","1","23","21","235","43",
"547","1","18","23","46","18",
"548","1","9","12","176","37",
"549","1","8","11","176","37",
"550","1","9","18","179","37",
"551","1","12","12","200","37",
"552","1","10","14","182","37",
"553","1","18","9","179","37",
"554","1","10","6","201","37",
"555","1","14","10","197","37",
"556","1","15","26","383","37",
"557","1","12","12","390","22",
"558","1","14","20","154","22",
"559","1","9","12","390","22",
"560","1","11","10","389","22",
"561","1","15","13","411","22",
"562","1","9","18","363","22",
"563","1","9","11","115","22",
"564","1","24","14","162","14",
"565","1","24","18","162","14",
"566","1","12","23","162","14",
"567","1","23","19","162","14",
"568","1","12","12","73","43",
"569","1","10","16","97","43",
"570","1","18","12","93","43",
"571","1","18","9","93","43",
"572","1","14","12","91","43",
"573","1","9","12","92","43",
"574","1","17","10","92","43",
"575","1","6","18","90","43",
"576","1","7","9","372","43",
"577","1","9","25","371","43",
"578","1","17","17","295","42",
"579","1","24","14","295","42",
"580","1","11","11","251","42",
"581","1","20","10","438","34",
"590","1","10","9","199","13",
"591","1","9","17","199","13",
"592","1","10","9","192","13",
"593","1","12","14","394","22",
"594","1","12","30","4","40",
"595","1","12","25","147","12",
"596","1","22","18","179","12",
"600","1","7","20","225","18",
"601","1","18","23","168","12",
"602","1","21","35","164","12",
"603","1","24","20","1","7",
"604","1","20","14","11","27",
"605","32","24","24","8","4",
"606","24","24","18","8","33",
"607","3","18","18","8","4",
"608","5","12","14","8","4",
"609","1","14","14","273","24",
"610","1","12","13","273","24",
"611","1","6","12","273","24",
"612","1","10","13","175","36",
"613","1","15","10","169","14",
