"ID","symbol","color","description","manufacturer","glassImage",
"266","152rr","red","ruby red rough rolled","spectrum","[object Image]",
"267","152s","red","ruby red solid transparent","spectrum","[object Image]",
"268","152sf","red","ruby red transparent","spectrum","[object Image]",
"269","152w","red","ruby red waterglass","spectrum","[object Image]",
"270","357-1s","red","red / white","spectrum","[object Image]",
"271","357-2sf","red","crystal opal / red","spectrum","[object Image]",
"272","359-1s","red","red / white wispy","spectrum","[object Image]",
"273","451-20w","red","ruby red / amber waterglass","spectrum","[object Image]",
"274","605-85cc","red","clear / white / burgundy ""Sierra Red""","spectrum","[object Image]",
"275","675-5s","red","white / orange-red","bullseye","[object Image]",
"276","br/burgundy","red","burgundy / clear baroque","spectrum","[object Image]",
"277","200-91w","white","white waterglass","spectrum","[object Image]",
"278","200cc","white","white solid opalescent corsica ""Snowman""","spectrum","[object Image]",
"279","200sf","white","white solid opalescent","spectrum","[object Image]",
"280","ko61","amber","brown opal","kokomo",,
"281","ko18d","amber","dark amber cathedral","kokomo",,
"282","ko61splx","amber","brown light amber opal","kokomo",,
"283","ko612","blue","light turquoise blue cathedral","kokomo",,
"284","161a","yellow","yellow artique","spectrum","[object Image]",
"285","161rr","yellow","yellow rough rolled","spectrum","[object Image]",
"286","161s","yellow","yellow transparent","spectrum","[object Image]",
"287","161sf","yellow","yellow solid transparent","spectrum","[object Image]",
"288","161w","yellow","yellow waterglass","spectrum","[object Image]",
"289","260-72s","yellow","yellow opalescent","spectrum","[object Image]",
"290","260-72sf","yellow","yellow solid opalescent","spectrum","[object Image]",
"291","267-72sf","yellow","sunflower yellow solid opalescent","spectrum","[object Image]",
"292","365-1s","yellow","white / yellow","spectrum","[object Image]",
"293","367-1s","yellow","yellow / white","spectrum","[object Image]",
"294","369-1s","yellow","yellow / white wispy","spectrum","[object Image]",
"295","6067-83cc","yellow","clear / white / lemon / orange ""Mimosa""""","spectrum","[object Image]",
"296","6076-83cc","White","clear / white / orange / yellow ""Inferno""","spectrum","[object Image]",
"297","140.8a","purple","pale purple artique","spectrum","[object Image]",
"298","140.8rr","purple","pale purple rough rolled","spectrum","[object Image]",
"299","543-2w","purple","violet waterglass","spectrum","[object Image]",
"300","i/518-1sf","bronze","bronze solid transparent iridescent","spectrum","[object Image]",
"301","1009sfl/dt","black","black opalescent double thick","spectrum","[object Image]",
"302","br / 400","black","black / clear baroque","spectrum","[object Image]",
"303","br / 6000","black","black / white / clear baroque","spectrum","[object Image]",
"304","i/1009s","black","black smooth iridescent","spectrum","[object Image]",
"305","i/1009sf","black ","black smooth iridescent","spectrum","[object Image]",
"306","i/1009w","black","bkack waterglass iridescent","soectrum","[object Image]",
"307","i / br / 400","black","black / clear baroque iridescent","spectrum","[object Image]",
"308","spirit/4001sf","black","crystal clear / ivory / black ""murano""","spectrum","[object Image]",
"438","gc gray","gray","gray gluechip","",,
"310","291-61s","champagne","champagne solid opalescent","spectrum","[object Image]",
"311","291-61sf","champagne","champagne solid opalescent","spectrum","[object Image]",
"312","291-91w","champagne","champagne waterglass","spectrum","[object Image]",
"313","591-1a","champagne","champagne artique","spectrum","[object Image]",
"314","591-1rr","champagne","pink champagne rough rolled","spectrum","[object Image]",
"315","591-1sf","champagne","pink champagne transparent","spectrum","[object Image]",
"316","591-1v","champagne","champagne vecchio","spectrum","[object Image]",
"317","591-1w","champagne","champagne waterglass","spectrum","[object Image]",
"318","891-61s","champagne","white / pink champagne ","spectrum","[object Image]",
"319","891-81s","champagne","pink champagne wispy","spectrum","[object Image]",
"320","br/6091-1","champagne","champagne / white / clear baroque","spectrum","[object Image]",
"321","br/ champagne","champagne","champagne / clear baroque","spectrum","[object Image]",
"322","br/cinnamona","champagne","cinnamon / clear baroque","spectrum","[object Image]",
"323","i/891-61s","champagne","white / pink champagne iridescent","spectrum","[object Image]",
"324","sc/591-1w","champagne","Silvercoat ""MetallicBlush""","spectrum","[object Image]",
"325","180.8a","gray","pale gray artique","spectrum","[object Image]",
"326","180.8rr","gray","pale gray solid transparent rough rolled","spectrum","[object Image]",
"327","180.8sf","gray","pale gray solid transparent ","spectrum","[object Image]",
"328","180.8v","gray","pale gray vecchio","spectrum","[object Image]",
"329","180.8w","gray","pale gray waterglass","spectrum","[object Image]",
"330","218-71sf","gray","stone solid opalescent","spectrum","[object Image]",
"331","280-72sf","gray","pewter opal","spectrum","[object Image]",
"332","280-76sf","gray","charcoal opal","spectrum","[object Image]",
"333","385-2s","gray","white / light gray","spectrum","[object Image]",
"334","387-2s","gray","gray / white","spectrum","[object Image]",
"335","389-1s","gray","pale gray / white wispy","spectrum","[object Image]",
"336","br/gray-pale","gray","pale gray baroque","spectrum","[object Image]",
"337","i/387-25","gray","gray / white iridescent","spectrum","[object Image]",
"338","sc/180.8w","gray","silvercoat ""gunmetal""","spectrum","[object Image]",
"339","171a","orange","orange artique","spectrum","[object Image]",
"340","171rr","orange","orange rough rolled","spectrum","[object Image]",
"341","171s","orange","orange solid transparent","spectrum","[object Image]",
"342","171sf","orange","orange solid transparent","spectrum","[object Image]",
"343","171w","orange","orange waterglass","spectrum","[object Image]",
"344","271-71sf","orange","persimmon","spectrum","[object Image]",
"345","375-1s","orange","white / orange","spectrum","[object Image]",
"346","379-1s","orange","orange / white wispy","spectrum","[object Image]",
"347","190-1w","pink","pastel pink","spectrum","[object Image]",
"348","395-1s","pink","white / pink","spectrum","[object Image]",
"349","397-2sf","pink","crystal opal / pink","spectrum","[object Image]",
"350","6029-83c","pink","clear / white / pink / green ""spring""","spectrum","[object Image]",
"351","6069-81cc","pink","clear / white / pink / yellow ""Harmony""","spectrum","[object Image]",
"352","609-8s","pink","clear / white / pink wispy","spectrum","[object Image]",
"353","6092-86cc","pink","clear / white / olive / pink ""Heather""","spectrum","[object Image]",
